Time,EAR,MAR,Blinks,Yawns,Drowsy
1771687230.21,0.239,0.143,0,0,0
1771687230.37,0.242,0.0,0,0,0
1771687230.43,0.233,0.0,0,0,0
1771687230.5,0.244,0.016,0,0,0
1771687230.56,0.221,0.0,0,0,0
1771687230.62,0.226,0.016,0,0,0
1771687230.7,0.233,0.016,0,0,0
1771687230.77,0.249,0.032,0,0,0
1771687230.83,0.261,0.035,0,0,0
1771687230.89,0.262,0.014,0,0,0
1771687230.95,0.247,0.0,0,0,0
1771687231.0,0.307,0.0,0,0,0
1771687231.08,0.254,0.0,0,0,0
1771687231.14,0.269,0.043,0,0,0
1771687231.2,0.286,0.02,0,0,0
1771687231.27,0.179,0.014,0,0,0
1771687231.33,0.238,0.0,0,0,0
1771687231.4,0.193,0.0,0,0,0
1771687231.48,0.181,0.0,0,0,0
1771687231.54,0.244,0.0,0,0,0
1771687231.6,0.222,0.018,0,0,0
1771687231.67,0.236,0.019,0,0,0
1771687231.73,0.235,0.0,0,0,0
1771687231.81,0.228,0.0,0,0,0
1771687231.87,0.248,0.0,0,0,0
1771687231.94,0.27,0.0,0,0,0
1771687232.0,0.234,0.0,0,0,0
1771687232.06,0.228,0.018,0,0,0
1771687232.13,0.227,0.033,0,0,0
1771687232.21,0.205,0.027,0,0,0
1771687232.27,0.216,0.019,0,0,0
1771687232.34,0.221,0.0,0,0,0
1771687232.4,0.228,0.0,0,0,0
1771687232.49,0.274,0.0,0,0,0
1771687232.56,0.268,0.0,0,0,0
1771687232.62,0.294,0.0,0,0,0
1771687232.68,0.215,0.018,0,0,0
1771687232.75,0.233,0.02,0,0,0
1771687232.77,0.269,0.019,0,0,0
1771687232.83,0.261,0.0,0,0,0
1771687232.89,0.261,0.0,0,0,0
1771687232.97,0.289,0.02,0,0,0
1771687233.04,0.307,0.02,0,0,0
1771687233.1,0.298,0.021,0,0,0
1771687233.16,0.279,0.0,0,0,0
1771687233.23,0.275,0.0,0,0,0
1771687233.29,0.273,0.0,0,0,0
1771687233.37,0.284,0.0,0,0,0
1771687233.44,0.28,0.019,0,0,0
1771687233.54,0.277,0.0,0,0,0
1771687233.6,0.289,0.0,0,0,0
1771687233.66,0.296,0.0,0,0,0
1771687233.75,0.301,0.0,0,0,0
1771687233.81,0.289,0.0,0,0,0
1771687233.88,0.297,0.0,0,0,0
1771687233.9,0.293,0.02,0,0,0
1771687234.01,0.318,0.028,0,0,0
1771687234.03,0.318,0.0,0,0,0
1771687234.15,0.292,0.0,0,0,0
1771687234.22,0.299,0.021,0,0,0
1771687234.27,0.288,0.029,0,0,0
1771687234.34,0.281,0.0,0,0,0
1771687234.4,0.285,0.029,0,0,0
1771687234.43,0.293,0.0,0,0,0
1771687234.55,0.284,0.021,0,0,0
1771687234.62,0.284,0.0,0,0,0
1771687234.68,0.276,0.02,0,0,0
1771687234.74,0.293,0.03,0,0,0
1771687234.81,0.291,0.0,0,0,0
1771687234.87,0.291,0.0,0,0,0
1771687234.95,0.29,0.0,0,0,0
1771687235.01,0.305,0.0,0,0,0
1771687235.36,0.306,0.0,0,0,0
1771687235.41,0.263,0.02,0,0,0
1771687235.47,0.251,0.0,0,0,0
1771687235.54,0.275,0.02,0,0,0
1771687235.6,0.24,0.0,0,0,0
1771687235.67,0.264,0.021,0,0,0
